City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
202,miri,4.4148,114.0089,31.08,74,40,2.06,MY,1723101580
203,santa eularia des riu,38.9846,1.5341,29.61,60,0,5.14,ES,1723101581
204,la ronge,55.1001,-105.2842,7.14,81,100,1.54,CA,1723101583
205,ujae,8.9322,165.7642,28.68,75,99,3.39,MH,1723101584
206,vanino,49.0869,140.2543,20.4,91,100,0.73,RU,1723101585
207,scottburgh,-30.2867,30.7532,23.21,20,0,2.38,ZA,1723101586
208,fortaleza,-3.7227,-38.5247,25.68,78,40,5.66,BR,1723101300
209,udachny,66.4167,112.4,21.83,60,98,5.77,RU,1723101589
210,gizo,-8.103,156.8419,27.47,79,100,4.46,SB,1723101590
211,egersund,58.4513,5.9997,16.32,80,38,4.0,NO,1723101591
212,saint-pierre,-21.3393,55.4781,25.82,61,0,7.2,RE,1723101593
213,saint-philippe,-21.3585,55.7679,25.77,69,2,3.75,RE,1723101594
214,cabinda,-5.55,12.2,22.28,79,100,3.42,AO,1723101595
215,qaqortoq,60.7167,-46.0333,7.16,93,100,1.33,GL,1723101597
216,haiku-pauwela,20.9219,-156.3051,24.47,85,0,5.14,US,1723101598
217,jayapura,-2.5333,140.7,30.66,88,100,3.73,ID,1723101599
218,yuzhno-kurilsk,44.0306,145.8556,18.67,100,99,1.34,RU,1723101601
219,pyay,18.8167,95.2167,30.25,71,75,3.62,MM,1723101602
220,nuuk,64.1835,-51.7216,4.34,100,100,1.03,GL,1723101603
221,sungjibaegam,41.2428,128.7989,20.66,73,2,0.69,KP,1723101605
222,lamu,-2.2717,40.902,26.17,72,2,6.45,KE,1723101606
223,lapai,9.05,6.5667,23.49,91,94,1.99,NG,1723101608
224,thai binh,20.45,106.3333,34.08,59,2,4.73,VN,1723101609
225,queenstown,-31.8976,26.8753,16.57,26,0,4.01,ZA,1723101612
226,serenje,-13.2325,30.2352,19.85,37,0,4.34,ZM,1723101613
227,bardai,11.65,7.2333,21.54,94,100,6.2,NG,1723101615
228,bobrov,51.0961,40.0333,23.15,53,100,4.58,RU,1723101617
229,sechenovo,55.2244,45.8906,22.9,52,10,2.02,RU,1723101618
230,vicuna,-30.0319,-70.7081,11.29,65,0,0.45,CL,1723101529
231,tolanaro,-25.0319,46.9987,20.04,94,75,5.14,MG,1723101622
232,richards bay,-28.783,32.0377,19.96,54,0,2.73,ZA,1723101624
233,kramfors,62.9316,17.7765,19.89,83,100,4.12,SE,1723101625
234,constantia,44.1833,28.65,27.61,59,1,1.91,RO,1723101626
235,sur,22.5667,59.5289,32.68,60,61,2.97,OM,1723101628
236,georgetown,5.4112,100.3354,32.96,51,20,6.69,MY,1723101353
237,sabanitas,9.3422,-79.8011,25.7,90,100,1.54,PA,1723101630
238,fort mcmurray,56.7268,-111.381,11.73,71,0,0.51,CA,1723101631
239,howrah,22.5892,88.3103,30.0,84,75,4.63,IN,1723101479
240,chonchi,-42.6128,-73.8092,1.73,97,100,0.54,CL,1723101634
241,aripuana,-9.1667,-60.6333,21.72,52,100,1.21,BR,1723101635
242,monrovia,6.3005,-10.7969,23.87,78,100,3.82,LR,1723101636
243,sakaiminato,35.55,133.2333,33.96,62,40,4.63,JP,1723101637
244,pervomayskoye,43.919,46.7102,31.15,32,2,8.1,RU,1723101639
245,kone,-21.0595,164.8658,20.04,69,68,2.56,NC,1723101640
246,kampong chhnang,12.1667,104.55,34.35,53,97,0.3,KH,1723101641
247,mossel bay,-34.1831,22.146,11.96,83,0,0.97,ZA,1723101642
248,atlantis,-33.5667,18.4834,12.75,93,100,5.46,ZA,1723101644
249,al jubayl,27.0112,49.6583,39.07,29,100,6.29,SA,1723101460
250,cartagena,10.3997,-75.5144,25.79,89,20,1.03,CO,1723101637
251,prince george,53.9166,-122.753,13.69,82,40,0.0,CA,1723101649
252,mahina,-17.5065,-149.489,26.87,69,75,4.12,PF,1723101650
253,sete lagoas,-19.4658,-44.2467,17.49,52,100,0.86,BR,1723101583
254,alotau,-10.3069,150.4462,25.49,84,88,2.45,PG,1723101652
255,cold lake,54.4502,-110.2017,8.97,87,20,1.03,CA,1723101654
256,gangneung,37.7556,128.8961,29.31,90,100,1.21,KR,1723101530
257,tesechoacan,18.1333,-95.6667,24.67,95,0,1.87,MX,1723101657
258,nova vicosa,-17.8919,-39.3719,20.56,76,0,2.58,BR,1723101659
259,nuku'alofa,-21.1333,-175.2,21.19,73,20,5.66,TO,1723101660
260,bhimunipatnam,17.8833,83.4333,30.73,47,99,0.99,IN,1723101662
261,motueka,-41.1333,173.0167,12.83,95,77,0.71,NZ,1723101665
262,pionerskiy,54.9508,20.2275,21.91,72,100,3.84,RU,1723101666
263,beaufort,5.3473,115.7455,28.28,89,100,1.26,MY,1723101667
264,papao,-17.75,-149.55,26.82,80,57,6.3,PF,1723101668
265,tsiombe,-25.3,45.4833,25.01,53,0,3.64,MG,1723101669
266,birobidzhan,48.8,132.95,27.54,65,11,0.84,RU,1723101671
267,chifeng,42.2683,118.9636,29.83,46,66,1.94,CN,1723101673
